instance,objective,status,status_category,average_obj,total_instances,optimal_count,feasible_count,solution_not_found_count,infeasible_count,optimal_percentage,feasible_percentage,solution_not_found_percentage,infeasible_percentage,2_feasible_count,2_feasible_percentage
0,16.809577570601718,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
1,11.137236181075146,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
2,13.00114971548084,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
3,15.801461558469834,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
4,16.238059121454647,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
5,14.178617072163592,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
6,14.13220516540499,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
7,13.342966270831262,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
8,14.464790510605592,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
9,14.75762695389425,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
10,14.686419196973253,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
11,14.515240308125671,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
12,12.422556078551185,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
13,12.769748298554228,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
14,14.241828586570575,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
15,16.33832334737957,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
16,16.224644316280585,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
17,14.021233462977834,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
18,11.292663516176766,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
19,11.766163333792777,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
20,12.148911048825259,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
21,14.547861626027775,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
22,17.928247042132753,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
23,11.713870793994708,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
24,20.162814295701832,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
25,14.279689888137346,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
26,17.014940223030276,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
27,15.086731484367233,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
28,18.199681872266677,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
29,15.817928958904838,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
30,13.43274887544044,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
31,14.942070327637177,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
32,16.126257451345687,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
33,14.475982204484449,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
34,11.83454339549792,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
35,11.648793679111089,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
36,16.194004605424297,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
37,12.196946308907838,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
38,14.517235489965145,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
39,14.857992694708335,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
40,13.796507604513868,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
41,13.563549177879503,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
42,18.509726983689088,2_feasible,2,14.51716929030642,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
