instance,objective,status,status_category,average_obj,total_instances,optimal_count,feasible_count,solution_not_found_count,infeasible_count,optimal_percentage,feasible_percentage,solution_not_found_percentage,infeasible_percentage,2_feasible_count,2_feasible_percentage
0,21.372574278585805,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
1,23.621031601132575,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
2,27.638773465364,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
3,14.907676135005921,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
4,15.18589207878912,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
5,24.049309166469,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
6,16.001264937751,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
7,25.421589288741004,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
8,24.011198403468,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
9,25.839165386582998,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
10,15.778584320962434,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
11,22.997886540461206,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
12,23.601889141002143,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
13,27.197873290954004,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
14,26.98125093819,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
15,19.018210214995978,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
16,24.057790390039003,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
17,20.131743622961995,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
18,29.07127860132,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
19,17.933357037315563,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
20,17.12126348915622,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
21,17.224571627583906,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
22,23.862744516448,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
23,17.57446836884504,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
24,19.631722396281,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
25,20.254512424078,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
26,26.872378575686007,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
27,26.958493438718996,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
28,22.029967989531,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
29,23.420330690513005,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
30,21.46779104701,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
31,19.2912690817167,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
32,17.5721680307038,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
33,17.08945753148045,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
34,28.706458632188003,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
35,22.154893094674005,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
36,22.821129501079994,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
37,23.85397096643399,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
38,19.041322175965995,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
39,27.317143343545,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
40,19.802586423569,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
41,23.680482931082192,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
42,21.582594644922,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
43,13.595296110249606,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
44,17.620850884524003,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
45,23.059969061204,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
46,22.892665706447005,2_feasible,2,21.670950256538163,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
