instance,objective,status,status_category,average_obj,total_instances,optimal_count,feasible_count,solution_not_found_count,infeasible_count,optimal_percentage,feasible_percentage,solution_not_found_percentage,infeasible_percentage,2_feasible_count,2_feasible_percentage
0,36.84598125216801,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
1,19.149824655183323,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
2,27.55151817741794,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
3,33.810806321957,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
4,24.752736312613457,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
5,36.815614206610206,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
6,34.360868435865,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
7,28.474991928906,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
8,26.708043109198748,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
9,30.409609698719997,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
10,29.753658139447243,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
11,35.650448907472,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
12,28.506646404889402,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
13,35.004607434048,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
14,32.344657543295995,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
15,33.833043210143806,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
16,22.091004339890052,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
17,28.556117965149,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
18,29.981359681773,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
19,19.902043329919675,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
20,29.509781347504997,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
21,22.530121273163637,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
22,32.073875430595,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
23,24.868674871632997,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
24,26.991201950604,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
25,31.282517417115002,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
26,29.879696734430002,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
27,29.974131140464003,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
28,29.175215239592,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
29,27.612155745418004,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
30,33.469334440312004,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
31,27.474519581273995,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
32,28.390199477209993,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
33,31.911577361026996,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
34,32.14152911453168,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
35,24.63937695191529,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
36,31.04210759537941,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
37,45.49498347644,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
38,25.693651134624247,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
39,25.709076848860683,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
40,31.204138228646006,2_feasible,2,28.944876672958234,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
