instance,objective,status,status_category,average_obj,total_instances,optimal_count,feasible_count,solution_not_found_count,infeasible_count,optimal_percentage,feasible_percentage,solution_not_found_percentage,infeasible_percentage,2_feasible_count,2_feasible_percentage
0,31.064664251143,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
1,23.810314789979998,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
2,41.43892161530499,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
3,39.705969970452,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
4,43.64369690574999,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
5,49.1833817268,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
6,37.376834030819,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
7,35.221876884832,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
8,48.71461840191,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
9,33.226758609874,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
10,33.133378951192,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
11,33.322245823062,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
12,39.1954343688,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
13,37.462383360798,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
14,49.685570580000004,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
15,24.316719025728915,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
16,36.011749771896,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
17,37.052318574009995,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
18,49.416640571199984,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
19,36.181717224804004,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
20,32.26124469536,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
21,37.07120641995,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
22,34.449272302181,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
23,29.491720805935998,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
24,32.7055311241,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
25,37.372703183202,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
26,42.826027230000015,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
27,40.547960434912,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
28,46.03261225732,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
29,49.896290020508005,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
30,46.503505535149,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
31,45.272372485000005,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
32,39.74277694110099,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
33,53.72057023,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
34,43.384133916729006,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
35,31.869556521048004,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
36,38.198110031157995,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
37,44.410770412395,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
38,34.825402461192,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
39,43.201053639856,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
40,31.235848823602,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
41,36.54274559732,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
42,40.972178495672004,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
43,38.18435926344,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
44,44.01629255306201,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
45,42.44564913542,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
46,42.59111586032,2_feasible,2,39.37349589448262,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
