instance,objective,status,average_obj,total_instances,optimal_count,optimal_percentage
0,5.1560268684043695,timelimit,5.336420555014107,50,0,0.0
1,7.499560753716009,timelimit,5.336420555014107,50,0,0.0
2,6.185461984777438,timelimit,5.336420555014107,50,0,0.0
3,3.6116464844957195,timelimit,5.336420555014107,50,0,0.0
4,7.054925530181655,timelimit,5.336420555014107,50,0,0.0
5,8.67136070963661,timelimit,5.336420555014107,50,0,0.0
6,7.913332333286931,timelimit,5.336420555014107,50,0,0.0
7,4.705666597770539,timelimit,5.336420555014107,50,0,0.0
8,4.597751739853077,timelimit,5.336420555014107,50,0,0.0
9,2.379530827927567,timelimit,5.336420555014107,50,0,0.0
10,3.7917800807281585,timelimit,5.336420555014107,50,0,0.0
11,3.486294587005142,timelimit,5.336420555014107,50,0,0.0
12,6.604903143498682,timelimit,5.336420555014107,50,0,0.0
13,5.058648554865483,timelimit,5.336420555014107,50,0,0.0
14,7.84205313797,timelimit,5.336420555014107,50,0,0.0
15,2.51304001626635,timelimit,5.336420555014107,50,0,0.0
16,4.931011489182715,timelimit,5.336420555014107,50,0,0.0
17,2.9267341281663164,timelimit,5.336420555014107,50,0,0.0
18,3.8206823607131613,timelimit,5.336420555014107,50,0,0.0
19,5.104291422992215,timelimit,5.336420555014107,50,0,0.0
20,4.166978237309433,timelimit,5.336420555014107,50,0,0.0
21,6.337185836826478,timelimit,5.336420555014107,50,0,0.0
22,5.642642192167608,timelimit,5.336420555014107,50,0,0.0
23,4.153511123139107,timelimit,5.336420555014107,50,0,0.0
24,7.09279483522969,timelimit,5.336420555014107,50,0,0.0
25,3.8499209995552555,timelimit,5.336420555014107,50,0,0.0
26,6.165844771650857,timelimit,5.336420555014107,50,0,0.0
27,4.343180316417013,timelimit,5.336420555014107,50,0,0.0
28,7.176612374548249,timelimit,5.336420555014107,50,0,0.0
29,8.125082194365438,timelimit,5.336420555014107,50,0,0.0
30,4.134056824767718,timelimit,5.336420555014107,50,0,0.0
31,5.44914890320993,timelimit,5.336420555014107,50,0,0.0
32,3.8779179908000003,timelimit,5.336420555014107,50,0,0.0
33,5.1373546771054714,timelimit,5.336420555014107,50,0,0.0
34,3.5240934416449976,timelimit,5.336420555014107,50,0,0.0
35,6.453530646558249,timelimit,5.336420555014107,50,0,0.0
36,7.058216953763467,timelimit,5.336420555014107,50,0,0.0
37,7.9772262466268415,timelimit,5.336420555014107,50,0,0.0
38,4.200894798174526,timelimit,5.336420555014107,50,0,0.0
39,5.6955698665996755,timelimit,5.336420555014107,50,0,0.0
40,7.30317642241796,timelimit,5.336420555014107,50,0,0.0
41,4.690944919592038,timelimit,5.336420555014107,50,0,0.0
42,5.09186199521802,timelimit,5.336420555014107,50,0,0.0
43,4.647083186058437,timelimit,5.336420555014107,50,0,0.0
44,5.3182663225799125,timelimit,5.336420555014107,50,0,0.0
45,4.098247031623602,timelimit,5.336420555014107,50,0,0.0
46,10.157841086877001,timelimit,5.336420555014107,50,0,0.0
47,4.149109474253752,timelimit,5.336420555014107,50,0,0.0
48,3.6454228150209946,timelimit,5.336420555014107,50,0,0.0
49,3.3026085151655087,timelimit,5.336420555014107,50,0,0.0
