instance,objective_raw,objective_norm,gap,status,solve_time
0,5.7333529365787,0.06599812088337441,835.55685611303,timelimit,599.9889621734619
1,3.5714494264543384,0.04621462638361419,1061692.3871830879,timelimit,600.1462683677673
2,10.590476712993853,0.11648245186466565,2.046517074946381,timelimit,599.8543038368225
3,5.160497551102244,0.07222555123958019,326908.14565786824,timelimit,600.1045842170715
4,6.490589934184296,0.07742781701922462,87980.11053309949,timelimit,599.9478735923767
5,9.068138717890829,0.11057285947695118,2.6046445835598364,timelimit,599.9115781784058
6,8.279767201842013,0.09169338015621845,1304.569364077331,timelimit,600.0013928413391
7,9.836511128784396,0.11364655741665396,15.684059214753592,timelimit,599.9952900409698
8,10.010541559568534,0.11410340653124262,14.994883405011409,timelimit,600.0309174060822
9,5.792738565958609,0.0628564971485784,22198.665390036353,timelimit,600.0341730117798
