instance,objective_raw,objective_norm,gap,status,solve_time
0,550.2755223307714,1.0,1e+20,timelimit,604.346809387207
1,577.8609897705026,1.0,1e+20,timelimit,604.0253658294678
2,548.1822587346195,0.9629525129109328,1e+20,timelimit,605.0390329360962
3,547.0180808705561,1.0,1e+20,timelimit,604.5842292308807
4,597.7647465887826,1.0,1e+20,timelimit,605.0813431739807
5,552.4192334145147,0.9850796356764864,1e+20,timelimit,604.8764379024506
6,577.4605877474588,1.0,1e+20,timelimit,605.5353572368622
7,572.449236209365,0.9906733143912517,1e+20,timelimit,604.8356873989105
8,593.698650464291,1.0,1e+20,timelimit,603.4662525653839
9,550.8202289272211,0.9881174789245534,1e+20,timelimit,604.3822045326233
