instance,objective_raw,objective_norm,gap,status,solve_time
0,3.5611073492381524,0.04001244212627138,558131704.3230486,timelimit,599.9692494869232
1,2.796637793972234,0.029131643687210773,562592630.275256,timelimit,600.0007207393646
2,6.838541630430509,0.07771070034580124,1187698625.513604,timelimit,599.9626672267914
3,2.1995498036494063,0.025576160507551238,882132078.9867632,timelimit,600.0811939239502
4,4.158772379212685,0.0649808184251982,1162827566.916077,timelimit,599.9551141262054
5,2.9683173132157568,0.042404533045939385,500729749.71262056,timelimit,599.9914100170135
6,5.192938345907005,0.05583804673018285,927441355.8723612,timelimit,600.0277352333069
7,3.7634112095747363,0.047638116576895394,460443154.83704513,timelimit,599.9907789230347
8,3.2126963685734333,0.04066704264017004,1135860625.910404,timelimit,600.0177135467529
9,4.842801384259659,0.05566438372712252,1010930608.5169191,timelimit,599.948878288269
