instance,objective_raw,objective_norm,gap,status,solve_time
0,34.36540925311043,0.19903429603587927,0.21892355283516707,timelimit,599.8877861499786
1,22.135115083608532,0.14037119069651377,0.2055458851721752,timelimit,599.9163475036621
2,31.244601670151226,0.20458183029401678,0.0,optimal,495.165070772171
3,25.015422831788676,0.15595700141326876,0.2852962279590791,timelimit,599.9011011123657
4,28.780500867765465,0.17568935258916002,0.5882623316671284,timelimit,599.9300367832184
5,27.425329253407998,0.15104314833308352,0.44317471677820425,timelimit,600.002010345459
6,36.524472359357716,0.20210781933538838,0.04625441779839751,timelimit,600.0480365753174
7,25.65534662149525,0.1589078415477267,0.3736470163416685,timelimit,599.9868426322937
8,29.87817203267547,0.1774460877948589,0.161801035853588,timelimit,599.9921333789825
9,34.02212601349596,0.19421103822488037,0.16216797913358233,timelimit,600.05007147789
