instance,objective_raw,objective_norm,gap,status,solve_time
0,7.111590415979798,0.041588248046665485,6081868998.72727,timelimit,600.0510272979736
1,8.606800837775795,0.04703169856708085,1e+20,timelimit,599.9977481365204
2,7.099241492258288,0.0443702593266143,4407010255.740906,timelimit,599.9777414798737
3,5.698988360791039,0.03453932339873357,1e+20,timelimit,599.997884273529
4,6.109947108432733,0.03215761636017228,2133744084.256833,timelimit,599.9917995929718
5,6.585341743785159,0.03720532058635683,1e+20,timelimit,600.0253033638
6,7.3818550699655585,0.04367961579861277,1e+20,timelimit,599.9994270801544
7,8.057311525804295,0.051649432857719835,1e+20,timelimit,599.975754737854
8,7.072651940702424,0.03742143883969536,6320275989.11505,timelimit,599.9683218002319
9,7.323082993356172,0.043331852031693326,5587125240.996234,timelimit,600.0023107528687
