instance,objective_raw,objective_norm,gap,status,solve_time
0,23.413815475359932,0.08506503537165216,1e+20,timelimit,600.5476195812225
1,18.196285192814397,0.0653856333613399,17371446496.033096,timelimit,599.9704849720001
2,7.774475466251211,0.027298835677857274,7076184188.519582,timelimit,600.0287308692932
3,9.583418702217585,0.03493244211528498,7786593708.339395,timelimit,600.0037865638733
4,7.650576751018908,0.026152316574055236,1e+20,timelimit,600.0892698764801
5,14.322500837855596,0.05098196618877351,1e+20,timelimit,600.3630049228668
6,15.961051191269577,0.05239101984380875,15228855531.345201,timelimit,600.5172853469849
7,19.42888024214863,0.06504225240704181,1e+20,timelimit,601.0434246063232
8,14.25271217099121,0.05119628100388438,1e+20,timelimit,600.9466800689697
9,13.279125715518033,0.04840699180942289,1e+20,timelimit,600.046552658081
