init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
179.0,4.2867,0.0239,4420.0,0.9779,0.0239,0.9761,61,0.424,30M_30N_5T,Large,13
166.0,6.6383,0.04,2950.0,0.9736,0.04,0.96,52,0.309,30M_30N_5T,Large,14
177.0,5.5186,0.0312,3470.0,0.9429,0.0312,0.9688,56,0.314,30M_30N_5T,Large,15
175.0,4.9857,0.0285,3610.0,0.9652,0.0285,0.9715,56,0.314,30M_30N_5T,Large,16
187.0,8.0435,0.043,3480.0,0.9721,0.043,0.957,51,0.306,30M_30N_5T,Large,17
151.0,5.4582,0.0361,3500.0,0.9511,0.0361,0.9639,54,0.311,30M_30N_5T,Large,18
144.0,4.8082,0.0334,3420.0,0.937,0.0334,0.9666,55,0.31,30M_30N_5T,Large,19
177.0,4.6841,0.0265,4170.0,0.9766,0.0265,0.9735,61,0.322,30M_30N_5T,Large,20
175.0,3.7781,0.0216,3560.0,0.978,0.0216,0.9784,64,0.324,30M_30N_5T,Large,21
177.0,7.3002,0.0412,3180.0,0.9815,0.0412,0.9588,56,0.312,30M_30N_5T,Large,22
139.0,4.5909,0.033,3040.0,0.956,0.033,0.967,56,0.313,30M_30N_5T,Large,23
174.0,5.4638,0.0314,3650.0,0.9656,0.0314,0.9686,59,0.315,30M_30N_5T,Large,24
131.0,4.891,0.0373,3230.0,0.9642,0.0373,0.9627,54,0.311,30M_30N_5T,Large,25
138.0,5.1072,0.037,3220.0,0.9527,0.037,0.963,54,0.31,30M_30N_5T,Large,26
159.0,4.6662,0.0293,3420.0,0.9526,0.0293,0.9707,55,0.31,30M_30N_5T,Large,27
159.0,5.1644,0.0325,3120.0,0.972,0.0325,0.9675,57,0.316,30M_30N_5T,Large,28
164.0,5.5367,0.0338,2830.0,0.9826,0.0338,0.9662,55,0.312,30M_30N_5T,Large,29
167.0,6.4775,0.0388,3150.0,0.9875,0.0388,0.9612,57,0.312,30M_30N_5T,Large,30
160.0,4.61,0.0288,3880.0,0.97,0.0288,0.9712,59,0.338,30M_30N_5T,Large,31
164.0,6.6072,0.0403,3280.0,0.988,0.0403,0.9597,50,0.312,30M_30N_5T,Large,32
169.0,6.2433,0.0369,2910.0,1.0,0.0369,0.9631,55,0.312,30M_30N_5T,Large,33
161.0,8.5687,0.0532,3070.0,0.9808,0.0532,0.9468,49,0.3043,30M_30N_5T,Large,34
173.0,6.539,0.0378,3760.0,0.9895,0.0378,0.9622,54,0.31,30M_30N_5T,Large,35
190.0,7.7302,0.0407,3460.0,0.9914,0.0407,0.9593,53,0.312,30M_30N_5T,Large,36
160.0,5.0848,0.0318,3660.0,0.976,0.0318,0.9682,56,0.312,30M_30N_5T,Large,37
155.0,6.9709,0.045,3440.0,0.9582,0.045,0.955,54,0.309,30M_30N_5T,Large,38
156.0,3.8772,0.0249,3950.0,0.9472,0.0249,0.9751,60,0.319,30M_30N_5T,Large,39
158.0,2.4244,0.0153,4080.0,0.9423,0.0153,0.9847,66,0.324,30M_30N_5T,Large,40
165.0,5.8787,0.0356,3260.0,0.9504,0.0356,0.9644,55,0.312,30M_30N_5T,Large,41
