init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
21.0,1.5408,0.0734,350.0,1.0,0.0734,0.9266,11,0.057,5M_5N_5T,Small,15
33.0,5.5246,0.1674,440.0,0.9565,0.1674,0.8326,8,0.053,5M_5N_5T,Small,16
23.0,1.1926,0.0519,510.0,0.9107,0.0519,0.9481,9,0.054,5M_5N_5T,Small,17
31.0,2.9574,0.0954,440.0,0.7719,0.0954,0.9046,10,0.055,5M_5N_5T,Small,18
25.0,2.4824,0.0993,460.0,0.7667,0.0993,0.9007,9,0.053,5M_5N_5T,Small,19
34.0,6.0189,0.177,580.0,0.8657,0.177,0.823,8,0.053,5M_5N_5T,Small,20
30.0,2.1349,0.0712,550.0,1.0,0.0712,0.9288,10,0.056,5M_5N_5T,Small,21
26.0,3.1389,0.1207,590.0,0.8551,0.1207,0.8793,7,0.052,5M_5N_5T,Small,22
29.0,1.8014,0.0621,520.0,1.0,0.0621,0.9379,10,0.059,5M_5N_5T,Small,23
19.0,1.1881,0.0625,450.0,0.8491,0.0625,0.9375,10,0.064,5M_5N_5T,Small,24
17.0,2.1606,0.1271,500.0,1.0,0.1271,0.8729,8,0.065,5M_5N_5T,Small,25
33.0,1.6578,0.0502,450.0,1.0,0.0502,0.9498,11,0.057,5M_5N_5T,Small,26
44.0,5.4405,0.1236,450.0,0.8333,0.1236,0.8764,9,0.054,5M_5N_5T,Small,27
44.0,4.4569,0.1013,630.0,0.7778,0.1013,0.8987,10,0.055,5M_5N_5T,Small,28
16.0,1.2555,0.0785,620.0,0.9538,0.0785,0.9215,10,0.056,5M_5N_5T,Small,29
21.0,1.2916,0.0615,550.0,0.8594,0.0615,0.9385,9,0.054,5M_5N_5T,Small,30
31.0,2.1382,0.069,440.0,1.0,0.069,0.931,9,0.054,5M_5N_5T,Small,31
17.0,0.8799,0.0518,620.0,1.0,0.0518,0.9482,10,0.056,5M_5N_5T,Small,32
25.0,0.8813,0.0353,670.0,1.0,0.0353,0.9647,11,0.056,5M_5N_5T,Small,33
31.0,0.8476,0.0273,700.0,1.0,0.0273,0.9727,12,0.057,5M_5N_5T,Small,34
30.0,2.6217,0.0874,800.0,1.0,0.0874,0.9126,10,0.055,5M_5N_5T,Small,35
31.0,7.6901,0.2481,380.0,0.9268,0.2481,0.7519,7,0.053,5M_5N_5T,Small,36
25.0,2.8126,0.1125,470.0,0.8103,0.1125,0.8875,9,0.054,5M_5N_5T,Small,37
34.0,2.7364,0.0805,710.0,0.9342,0.0805,0.9195,11,0.056,5M_5N_5T,Small,38
28.0,3.6711,0.1311,410.0,0.9535,0.1311,0.8689,8,0.054,5M_5N_5T,Small,39
35.0,3.4622,0.0989,520.0,0.8254,0.0989,0.9011,9,0.056,5M_5N_5T,Small,40
32.0,2.636,0.0824,780.0,1.0,0.0824,0.9176,9,0.055,5M_5N_5T,Small,41
33.0,3.5176,0.1066,550.0,1.0,0.1066,0.8934,9,0.055,5M_5N_5T,Small,42
31.0,1.7744,0.0572,530.0,1.0,0.0572,0.9428,12,0.057,5M_5N_5T,Small,43
34.0,2.7969,0.0823,640.0,1.0,0.0823,0.9177,10,0.056,5M_5N_5T,Small,44
26.0,2.0098,0.0773,340.0,0.9444,0.0773,0.9227,9,0.056,5M_5N_5T,Small,45
41.0,7.501,0.183,360.0,1.0,0.183,0.817,7,0.051,5M_5N_5T,Small,46
25.0,2.2538,0.0902,460.0,0.8364,0.0902,0.9098,8,0.053,5M_5N_5T,Small,47
27.0,2.5595,0.0948,370.0,0.925,0.0948,0.9052,9,0.054,5M_5N_5T,Small,48
25.0,6.6267,0.2651,400.0,1.0,0.2651,0.7349,7,0.052,5M_5N_5T,Small,49
42.0,13.1584,0.3133,720.0,0.9,0.3133,0.6867,8,0.054,5M_7N_5T,Small,0
34.0,7.4759,0.2199,590.0,1.0,0.2199,0.7801,8,0.054,5M_7N_5T,Small,1
35.0,6.7729,0.1935,440.0,0.8,0.1935,0.8065,9,0.054,5M_7N_5T,Small,2
47.0,4.651,0.099,930.0,1.0,0.099,0.901,12,0.058,5M_7N_5T,Small,3
39.0,3.5711,0.0916,640.0,1.0,0.0916,0.9084,12,0.058,5M_7N_5T,Small,4
31.0,3.9839,0.1285,500.0,1.0,0.1285,0.8715,11,0.056,5M_7N_5T,Small,5
33.0,5.8811,0.1782,690.0,1.0,0.1782,0.8218,10,0.055,5M_7N_5T,Small,6
36.0,10.2601,0.285,320.0,1.0,0.285,0.715,5,0.05,5M_7N_5T,Small,7
40.0,8.0193,0.2005,580.0,0.8529,0.2005,0.7995,8,0.053,5M_7N_5T,Small,8
40.0,4.4627,0.1116,540.0,1.0,0.1116,0.8884,10,0.055,5M_7N_5T,Small,9
32.0,2.1757,0.068,760.0,1.0,0.068,0.932,12,0.058,5M_7N_5T,Small,10
32.0,5.7009,0.1782,480.0,1.0,0.1782,0.8218,8,0.053,5M_7N_5T,Small,11
48.0,7.3484,0.1531,440.0,1.0,0.1531,0.8469,10,0.121,5M_7N_5T,Small,12
32.0,4.7072,0.1471,640.0,0.8767,0.1471,0.8529,9,0.124,5M_7N_5T,Small,13
33.0,3.8493,0.1166,570.0,1.0,0.1166,0.8834,11,0.127,5M_7N_5T,Small,14
53.0,11.5664,0.2182,450.0,1.0,0.2182,0.7818,9,0.055,5M_7N_5T,Small,15
37.0,5.1247,0.1385,450.0,0.8333,0.1385,0.8615,8,0.054,5M_7N_5T,Small,16
31.0,4.28,0.1381,710.0,1.0,0.1381,0.8619,10,0.055,5M_7N_5T,Small,17
31.0,6.358,0.2051,450.0,1.0,0.2051,0.7949,7,0.052,5M_7N_5T,Small,18
27.0,3.9472,0.1462,430.0,1.0,0.1462,0.8538,10,0.055,5M_7N_5T,Small,19
35.0,4.2926,0.1226,550.0,0.9483,0.1226,0.8774,10,0.056,5M_7N_5T,Small,20
49.0,4.278,0.0873,1030.0,0.9115,0.0873,0.9127,13,0.059,5M_7N_5T,Small,21
29.0,3.2126,0.1108,690.0,0.8734,0.1108,0.8892,11,0.056,5M_7N_5T,Small,22
55.0,5.3844,0.0979,830.0,0.9121,0.0979,0.9021,12,0.057,5M_7N_5T,Small,23
38.0,7.1086,0.1871,580.0,1.0,0.1871,0.8129,10,0.056,5M_7N_5T,Small,24
41.0,7.5593,0.1844,670.0,1.0,0.1844,0.8156,10,0.057,5M_7N_5T,Small,25
40.0,9.2434,0.2311,440.0,1.0,0.2311,0.7689,8,0.053,5M_7N_5T,Small,26
50.0,9.6503,0.193,540.0,0.8438,0.193,0.807,9,0.055,5M_7N_5T,Small,27
43.0,14.3409,0.3335,400.0,1.0,0.3335,0.6665,6,0.052,5M_7N_5T,Small,28
36.0,2.537,0.0705,830.0,1.0,0.0705,0.9295,12,0.058,5M_7N_5T,Small,29
51.0,7.0292,0.1378,750.0,1.0,0.1378,0.8622,11,0.057,5M_7N_5T,Small,30
34.0,3.7451,0.1101,770.0,1.0,0.1101,0.8899,10,0.055,5M_7N_5T,Small,31
38.0,12.3922,0.3261,350.0,1.0,0.3261,0.6739,6,0.051,5M_7N_5T,Small,32
53.0,7.6402,0.1442,570.0,1.0,0.1442,0.8558,11,0.057,5M_7N_5T,Small,33
51.0,7.5919,0.1489,640.0,1.0,0.1489,0.8511,10,0.059,5M_7N_5T,Small,34
22.0,5.939,0.27,460.0,1.0,0.27,0.73,8,0.058,5M_7N_5T,Small,35
40.0,13.6716,0.3418,340.0,1.0,0.3418,0.6582,5,0.051,5M_7N_5T,Small,36
29.0,3.0539,0.1053,410.0,1.0,0.1053,0.8947,11,0.056,5M_7N_5T,Small,37
41.0,5.7526,0.1403,340.0,0.9444,0.1403,0.8597,10,0.056,5M_7N_5T,Small,38
34.0,3.7952,0.1116,850.0,0.9239,0.1116,0.8884,10,0.084,5M_7N_5T,Small,39
46.0,4.8567,0.1056,750.0,0.9036,0.1056,0.8944,12,0.136,5M_7N_5T,Small,40
37.0,5.1492,0.1392,560.0,1.0,0.1392,0.8608,11,0.132,5M_7N_5T,Small,41
28.0,3.8509,0.1375,720.0,0.9231,0.1375,0.8625,10,0.129,5M_7N_5T,Small,42
34.0,3.8303,0.1127,650.0,1.0,0.1127,0.8873,10,0.083,5M_7N_5T,Small,43
34.0,2.4311,0.0715,820.0,0.82,0.0715,0.9285,11,0.059,5M_7N_5T,Small,44
41.0,5.1664,0.126,670.0,1.0,0.126,0.874,10,0.056,5M_7N_5T,Small,45
26.0,4.3454,0.1671,750.0,1.0,0.1671,0.8329,9,0.054,5M_7N_5T,Small,46
38.0,3.2795,0.0863,680.0,0.8395,0.0863,0.9137,11,0.056,5M_7N_5T,Small,47
42.0,3.3604,0.08,820.0,1.0,0.08,0.92,12,0.058,5M_7N_5T,Small,48
33.0,2.5798,0.0782,630.0,0.9545,0.0782,0.9218,11,0.057,5M_7N_5T,Small,49
27.0,0.2453,0.0091,1020.0,0.9107,0.0091,0.9909,16,0.08,7M_5N_5T,Small,0
20.0,0.285,0.0142,670.0,1.0,0.0142,0.9858,13,0.075,7M_5N_5T,Small,1
38.0,0.3176,0.0084,790.0,1.0,0.0084,0.9916,17,0.079,7M_5N_5T,Small,2
27.0,0.4564,0.0169,870.0,0.7768,0.0169,0.9831,14,0.075,7M_5N_5T,Small,3
33.0,1.1683,0.0354,820.0,0.9213,0.0354,0.9646,14,0.075,7M_5N_5T,Small,4
25.0,0.6416,0.0257,820.0,0.9111,0.0257,0.9743,13,0.075,7M_5N_5T,Small,5
18.0,1.2926,0.0718,500.0,0.8929,0.0718,0.9282,10,0.071,7M_5N_5T,Small,6
19.0,0.5476,0.0288,830.0,0.954,0.0288,0.9712,16,0.079,7M_5N_5T,Small,7
32.0,0.8967,0.028,870.0,1.0,0.028,0.972,11,0.072,7M_5N_5T,Small,8
22.0,0.2846,0.0129,760.0,0.9157,0.0129,0.9871,14,0.076,7M_5N_5T,Small,9
31.0,1.5289,0.0493,690.0,0.9718,0.0493,0.9507,10,0.071,7M_5N_5T,Small,10
16.0,0.4015,0.0251,790.0,0.9186,0.0251,0.9749,12,0.073,7M_5N_5T,Small,11
31.0,1.2497,0.0403,840.0,0.866,0.0403,0.9597,13,0.074,7M_5N_5T,Small,12
22.0,0.4155,0.0189,670.0,0.8171,0.0189,0.9811,13,0.076,7M_5N_5T,Small,13
30.0,0.4356,0.0145,780.0,1.0,0.0145,0.9855,16,0.078,7M_5N_5T,Small,14
20.0,0.3955,0.0198,780.0,0.9176,0.0198,0.9802,14,0.077,7M_5N_5T,Small,15
29.0,0.4477,0.0154,810.0,0.8438,0.0154,0.9846,15,0.076,7M_5N_5T,Small,16
15.0,0.713,0.0475,530.0,0.8281,0.0475,0.9525,12,0.073,7M_5N_5T,Small,17
28.0,1.5131,0.054,750.0,0.8152,0.054,0.946,12,0.073,7M_5N_5T,Small,18
33.0,0.8192,0.0248,730.0,1.0,0.0248,0.9752,12,0.074,7M_5N_5T,Small,19
20.0,0.5482,0.0274,890.0,0.9175,0.0274,0.9726,12,0.074,7M_5N_5T,Small,20
28.0,1.7636,0.063,660.0,0.8684,0.063,0.937,11,0.072,7M_5N_5T,Small,21
31.0,0.8378,0.027,930.0,1.0,0.027,0.973,14,0.076,7M_5N_5T,Small,22
20.0,0.1862,0.0093,930.0,0.9688,0.0093,0.9907,14,0.075,7M_5N_5T,Small,23
39.0,1.0299,0.0264,800.0,0.9524,0.0264,0.9736,14,0.076,7M_5N_5T,Small,24
26.0,0.8323,0.032,730.0,0.8488,0.032,0.968,13,0.074,7M_5N_5T,Small,25
22.0,0.6211,0.0282,740.0,0.9487,0.0282,0.9718,12,0.074,7M_5N_5T,Small,26
27.0,0.6591,0.0244,790.0,0.8876,0.0244,0.9756,15,0.077,7M_5N_5T,Small,27
35.0,1.9273,0.0551,740.0,1.0,0.0551,0.9449,13,0.076,7M_5N_5T,Small,28
25.0,0.4354,0.0174,750.0,0.8929,0.0174,0.9826,13,0.091,7M_5N_5T,Small,29
30.0,1.2492,0.0416,610.0,0.7821,0.0416,0.9584,11,0.096,7M_5N_5T,Small,30
34.0,2.4135,0.071,820.0,0.9011,0.071,0.929,11,0.096,7M_5N_5T,Small,31
27.0,0.9971,0.0369,520.0,1.0,0.0369,0.9631,11,0.095,7M_5N_5T,Small,32
19.0,1.5466,0.0814,790.0,0.908,0.0814,0.9186,12,0.097,7M_5N_5T,Small,33
29.0,0.8589,0.0296,660.0,0.9167,0.0296,0.9704,13,0.098,7M_5N_5T,Small,34
24.0,0.5428,0.0226,810.0,0.9419,0.0226,0.9774,15,0.101,7M_5N_5T,Small,35
19.0,0.9428,0.0496,600.0,0.8824,0.0496,0.9504,13,0.087,7M_5N_5T,Small,36
36.0,2.2133,0.0615,750.0,1.0,0.0615,0.9385,11,0.072,7M_5N_5T,Small,37
16.0,0.1664,0.0104,1010.0,1.0,0.0104,0.9896,16,0.079,7M_5N_5T,Small,38
31.0,1.737,0.056,710.0,1.0,0.056,0.944,12,0.072,7M_5N_5T,Small,39
25.0,0.7627,0.0305,800.0,0.9091,0.0305,0.9695,13,0.074,7M_5N_5T,Small,40
30.0,1.8248,0.0608,620.0,1.0,0.0608,0.9392,12,0.074,7M_5N_5T,Small,41
27.0,0.4634,0.0172,560.0,0.8615,0.0172,0.9828,14,0.076,7M_5N_5T,Small,42
23.0,0.4431,0.0193,830.0,0.954,0.0193,0.9807,15,0.077,7M_5N_5T,Small,43
23.0,0.846,0.0368,710.0,1.0,0.0368,0.9632,11,0.073,7M_5N_5T,Small,44
23.0,0.3241,0.0141,980.0,0.9074,0.0141,0.9859,14,0.074,7M_5N_5T,Small,45
33.0,0.9321,0.0282,900.0,0.8911,0.0282,0.9718,14,0.075,7M_5N_5T,Small,46
29.0,1.4799,0.051,510.0,0.8095,0.051,0.949,10,0.071,7M_5N_5T,Small,47
26.0,0.322,0.0124,970.0,1.0,0.0124,0.9876,14,0.075,7M_5N_5T,Small,48
27.0,1.9577,0.0725,570.0,1.0,0.0725,0.9275,9,0.07,7M_5N_5T,Small,49
89.0,2.0768,0.0233,1570.0,0.9401,0.0233,0.9767,31,0.1611,15M_15N_5T,Medium,0
96.0,2.3651,0.0246,1740.0,0.9613,0.0246,0.9754,33,0.158,15M_15N_5T,Medium,1
88.0,5.6745,0.0645,1480.0,1.0,0.0645,0.9355,25,0.15,15M_15N_5T,Medium,2
86.0,1.7253,0.0201,1490.0,0.9739,0.0201,0.9799,31,0.156,15M_15N_5T,Medium,3
64.0,3.8654,0.0604,1500.0,0.9434,0.0604,0.9396,24,0.148,15M_15N_5T,Medium,4
70.0,2.0869,0.0298,1720.0,0.9829,0.0298,0.9702,30,0.156,15M_15N_5T,Medium,5
