instance,objective_raw,objective_norm,gap,status,solve_time
0,22.045165840004934,0.09930254882885105,1e+20,timelimit,600.0116121768951
1,18.270202212570002,0.10150112340316668,1e+20,timelimit,599.97638630867
2,17.761624547974854,0.07431642070282365,11923990810.79496,timelimit,599.990807056427
3,19.382891182853008,0.08973560732802319,14417191678.488302,timelimit,600.0322301387787
4,30.763612993773606,0.13983460451715277,1e+20,timelimit,599.9666759967804
5,24.247468009633756,0.10634854390190245,1e+20,timelimit,599.9874975681305
6,30.95617077446181,0.14007317092516655,1e+20,timelimit,600.0593075752258
7,13.490799352749123,0.07372021504234494,1e+20,timelimit,599.9419975280762
8,35.87835520569174,0.16088948522731722,1e+20,timelimit,600.0144739151001
9,32.778939715174516,0.12956102654219176,1e+20,timelimit,600.9002277851105
