instance,objective_raw,objective_norm,gap,status,solve_time
0,374.8970750560355,1.0,1e+20,timelimit,601.6860530376434
1,381.10232005834735,0.9664879677960792,1e+20,timelimit,601.7220709323883
2,391.7927654279339,1.0,1e+20,timelimit,601.024183511734
3,368.8230737932579,0.9679189402584761,1e+20,timelimit,601.9961273670197
4,419.15392947184705,1.0,1e+20,timelimit,602.0364730358124
5,397.09001850684115,1.0,1e+20,timelimit,602.0928366184235
6,374.5315012963619,1.0,1e+20,timelimit,601.9659214019775
7,405.90610789073514,1.0,1e+20,timelimit,601.9338030815125
8,418.9404758651112,0.9810594086958949,1e+20,timelimit,602.0680530071259
9,401.54844403110906,1.0,1e+20,timelimit,601.917726278305
