instance,objective_raw,objective_norm,gap,status,solve_time
0,21.055199786149775,0.17545999821791478,1.2040725128312784,timelimit,599.9304082393646
1,29.30369997476759,0.1744267855640928,1.7604204487475497,timelimit,600.5408627986908
2,22.888099403655808,0.15784896140452281,2.4895970006043973,timelimit,599.4315137863159
3,30.10788335458048,0.1781531559442632,0.9829006982552929,timelimit,600.0109980106354
4,28.948299926482537,0.16541885672275736,1e+20,timelimit,599.9738676548004
5,25.1944992613445,0.15456748013094784,1.869912704826406,timelimit,600.0098764896393
6,25.355499370293405,0.16358386690511875,1.5904978658251052,timelimit,600.0176727771759
7,24.51559995619731,0.14679999973770844,10640286449.917097,timelimit,599.987706899643
8,23.399400055755883,0.1636321682220691,1.7168570531499991,timelimit,599.9775006771088
9,27.58969918952567,0.1491335091325712,1e+20,timelimit,600.0130534172058
