instance,objective_raw,objective_norm,gap,status,solve_time
0,9.901499806570536,0.1737105229222901,0.2080948321651839,timelimit,600.2398209571838
1,12.275999877104816,0.1534499984638102,0.18646645838812806,timelimit,599.9094889163971
2,12.791099504675058,0.16611817538539037,0.3174830607972063,timelimit,600.1069204807281
3,6.770599995614934,0.1109934425510645,0.8035930357161072,timelimit,599.9369423389435
4,16.71429962020691,0.25324696394252894,0.07955946037133392,timelimit,600.0390043258667
5,13.619999857890539,0.17688311503753948,0.0,optimal,274.8516631126404
6,12.111399705784148,0.1682138848025576,0.23673967859680764,timelimit,600.0914959907532
7,10.804699784459986,0.1286273783864284,0.938436595240642,timelimit,600.0744981765747
8,18.42999919547049,0.23628204096757038,0.0,optimal,139.64168119430542
9,10.631699840818538,0.16356461293566982,0.4656741201684354,timelimit,600.4107730388641
