init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
163.0,136.2498,0.8359,2450.0,0.6064,0.8359,0.1641,39,0.517,30M_30N_5T,Large,5
163.0,133.138,0.8168,1840.0,0.6093,0.8168,0.1832,32,0.3839,30M_30N_5T,Large,6
157.0,143.2641,0.9125,2450.0,0.6787,0.9125,0.0875,39,0.3831,30M_30N_5T,Large,7
181.0,156.1798,0.8629,2490.0,0.6975,0.8629,0.1371,43,0.4001,30M_30N_5T,Large,8
185.0,173.1119,0.9357,2340.0,0.7245,0.9357,0.0643,46,0.4012,30M_30N_5T,Large,9
136.0,105.0418,0.7724,2030.0,0.567,0.7724,0.2276,35,0.3755,30M_30N_5T,Large,10
158.0,124.0638,0.7852,1850.0,0.5394,0.7852,0.2148,30,0.2833,30M_30N_5T,Large,11
167.0,158.008,0.9462,2390.0,0.6988,0.9462,0.0538,46,0.3698,30M_30N_5T,Large,12
179.0,154.2619,0.8618,3100.0,0.6858,0.8618,0.1382,43,0.3165,30M_30N_5T,Large,13
166.0,133.0846,0.8017,1790.0,0.5908,0.8017,0.1983,32,0.3054,30M_30N_5T,Large,14
177.0,160.1637,0.9049,2520.0,0.6848,0.9049,0.0951,40,0.3018,30M_30N_5T,Large,15
175.0,159.1219,0.9093,2550.0,0.6818,0.9093,0.0907,39,0.298,30M_30N_5T,Large,16
187.0,153.4263,0.8205,2310.0,0.6453,0.8205,0.1795,35,0.2913,30M_30N_5T,Large,17
151.0,126.0677,0.8349,2160.0,0.587,0.8349,0.1651,33,0.2825,30M_30N_5T,Large,18
144.0,122.2163,0.8487,2320.0,0.6356,0.8487,0.1513,35,0.2809,30M_30N_5T,Large,19
177.0,147.1283,0.8312,2850.0,0.6674,0.8312,0.1688,41,0.2902,30M_30N_5T,Large,20
175.0,155.2365,0.8871,2500.0,0.6868,0.8871,0.1129,46,0.3036,30M_30N_5T,Large,21
177.0,158.0604,0.893,2230.0,0.6883,0.893,0.107,38,0.2834,30M_30N_5T,Large,22
139.0,117.0177,0.8419,1660.0,0.522,0.8419,0.1581,32,0.2839,30M_30N_5T,Large,23
174.0,152.0287,0.8737,2600.0,0.6878,0.8737,0.1263,40,0.2852,30M_30N_5T,Large,24
131.0,111.2795,0.8495,1810.0,0.5403,0.8495,0.1505,30,0.2843,30M_30N_5T,Large,25
138.0,121.1969,0.8782,1850.0,0.5473,0.8782,0.1218,30,0.2785,30M_30N_5T,Large,26
159.0,131.0998,0.8245,2180.0,0.6072,0.8245,0.1755,35,0.2903,30M_30N_5T,Large,27
159.0,132.2474,0.8317,2030.0,0.6324,0.8317,0.1683,35,0.3147,30M_30N_5T,Large,28
164.0,132.2921,0.8067,1680.0,0.5833,0.8067,0.1933,31,0.2854,30M_30N_5T,Large,29
167.0,143.2276,0.8577,2010.0,0.6301,0.8577,0.1423,35,0.3575,30M_30N_5T,Large,30
160.0,146.3676,0.9148,2760.0,0.69,0.9148,0.0852,41,0.3031,30M_30N_5T,Large,31
164.0,125.3705,0.7645,1820.0,0.5482,0.7645,0.2355,29,0.2741,30M_30N_5T,Large,32
169.0,156.2307,0.9244,2000.0,0.6873,0.9244,0.0756,37,0.2819,30M_30N_5T,Large,33
161.0,137.1064,0.8516,2000.0,0.639,0.8516,0.1484,30,0.2867,30M_30N_5T,Large,34
173.0,144.8815,0.8375,2250.0,0.5921,0.8375,0.1625,34,0.2825,30M_30N_5T,Large,35
190.0,153.0529,0.8055,2240.0,0.6418,0.8055,0.1945,35,0.2924,30M_30N_5T,Large,36
160.0,141.3031,0.8831,2430.0,0.648,0.8831,0.1169,37,0.5852,30M_30N_5T,Large,37
155.0,138.1641,0.8914,1980.0,0.5515,0.8914,0.1086,32,0.6365,30M_30N_5T,Large,38
156.0,134.2281,0.8604,2470.0,0.5923,0.8604,0.1396,38,0.3474,30M_30N_5T,Large,39
158.0,151.007,0.9557,2940.0,0.679,0.9557,0.0443,49,0.3054,30M_30N_5T,Large,40
165.0,129.0016,0.7818,2130.0,0.621,0.7818,0.2182,36,0.2818,30M_30N_5T,Large,41
156.0,139.0001,0.891,2580.0,0.6308,0.891,0.109,39,0.2824,30M_30N_5T,Large,42
176.0,141.3843,0.8033,2130.0,0.6174,0.8033,0.1967,35,0.2903,30M_30N_5T,Large,43
172.0,142.0749,0.826,2620.0,0.6453,0.826,0.174,41,0.2733,30M_30N_5T,Large,44
181.0,149.0309,0.8234,2530.0,0.664,0.8234,0.1766,37,0.2912,30M_30N_5T,Large,45
147.0,125.0539,0.8507,2330.0,0.6695,0.8507,0.1493,41,0.2834,30M_30N_5T,Large,46
186.0,161.0205,0.8657,2840.0,0.7172,0.8657,0.1343,47,0.2949,30M_30N_5T,Large,47
166.0,148.1062,0.8922,2450.0,0.6749,0.8922,0.1078,45,0.3014,30M_30N_5T,Large,48
190.0,182.0132,0.958,3070.0,0.7675,0.958,0.042,53,0.4028,30M_30N_5T,Large,49
171.0,58.3146,0.341,3960.0,1.0,0.341,0.659,63,0.6358,30M_30N_10T,Large,0
183.0,82.1727,0.449,3460.0,1.0,0.449,0.551,59,0.6667,30M_30N_10T,Large,1
160.0,48.1504,0.3009,3760.0,1.0,0.3009,0.6991,56,0.5363,30M_30N_10T,Large,2
165.0,52.2854,0.3169,3230.0,1.0,0.3169,0.6831,57,0.5535,30M_30N_10T,Large,3
190.0,65.5622,0.3451,3730.0,1.0,0.3451,0.6549,67,0.5857,30M_30N_10T,Large,4
177.0,63.3082,0.3577,4320.0,1.0,0.3577,0.6423,64,1.0998,30M_30N_10T,Large,5
169.0,51.2573,0.3033,3390.0,1.0,0.3033,0.6967,61,1.2075,30M_30N_10T,Large,6
156.0,41.6715,0.2671,2760.0,1.0,0.2671,0.7329,54,1.0953,30M_30N_10T,Large,7
189.0,74.6203,0.3948,3560.0,1.0,0.3948,0.6052,56,0.7085,30M_30N_10T,Large,8
169.0,113.7567,0.6731,2430.0,0.6983,0.6731,0.3269,37,0.7114,30M_30N_10T,Large,9
135.0,41.5234,0.3076,3700.0,1.0,0.3076,0.6924,60,0.598,30M_30N_10T,Large,10
153.0,63.776,0.4168,3260.0,1.0,0.4168,0.5832,62,0.5612,30M_30N_10T,Large,11
189.0,52.8743,0.2798,4030.0,1.0,0.2798,0.7202,71,0.5732,30M_30N_10T,Large,12
193.0,69.3485,0.3593,3310.0,1.0,0.3593,0.6407,54,0.539,30M_30N_10T,Large,13
167.0,54.5009,0.3264,3200.0,1.0,0.3264,0.6736,58,0.5618,30M_30N_10T,Large,14
182.0,53.7901,0.2955,4250.0,1.0,0.2955,0.7045,69,0.5546,30M_30N_10T,Large,15
158.0,60.339,0.3819,4090.0,1.0,0.3819,0.6181,64,0.5392,30M_30N_10T,Large,16
167.0,36.9136,0.221,3920.0,0.9849,0.221,0.779,65,0.571,30M_30N_10T,Large,17
154.0,49.974,0.3245,3650.0,0.9812,0.3245,0.6755,59,0.581,30M_30N_10T,Large,18
167.0,116.8976,0.7,2050.0,0.5959,0.7,0.3,39,0.6605,30M_30N_10T,Large,19
147.0,35.0177,0.2382,3680.0,1.0,0.2382,0.7618,65,0.6253,30M_30N_10T,Large,20
171.0,122.3319,0.7154,2480.0,0.7045,0.7154,0.2846,41,0.707,30M_30N_10T,Large,21
157.0,117.6906,0.7496,1200.0,0.4181,0.7496,0.2504,23,0.6343,30M_30N_10T,Large,22
167.0,47.3333,0.2834,3430.0,1.0,0.2834,0.7166,54,0.7501,30M_30N_10T,Large,23
171.0,68.3884,0.3999,3730.0,1.0,0.3999,0.6001,64,1.2333,30M_30N_10T,Large,24
176.0,61.3961,0.3488,3610.0,1.0,0.3488,0.6512,63,0.7336,30M_30N_10T,Large,25
178.0,69.9632,0.3931,3160.0,1.0,0.3931,0.6069,52,1.1485,30M_30N_10T,Large,26
158.0,75.7839,0.4796,3780.0,1.0,0.4796,0.5204,57,1.2063,30M_30N_10T,Large,27
170.0,101.0566,0.5945,2690.0,0.6793,0.5945,0.4055,45,1.0162,30M_30N_10T,Large,28
161.0,52.9388,0.3288,3590.0,1.0,0.3288,0.6712,62,1.0995,30M_30N_10T,Large,29
181.0,73.4684,0.4059,3580.0,1.0,0.4059,0.5941,56,1.2496,30M_30N_10T,Large,30
156.0,104.1064,0.6673,2500.0,0.6394,0.6673,0.3327,40,1.0354,30M_30N_10T,Large,31
150.0,111.6385,0.7443,1750.0,0.5287,0.7443,0.2557,32,0.7198,30M_30N_10T,Large,32
158.0,96.5272,0.6109,2490.0,0.6014,0.6109,0.3891,40,0.7289,30M_30N_10T,Large,33
183.0,77.2668,0.4222,3270.0,1.0,0.4222,0.5778,57,0.8253,30M_30N_10T,Large,34
188.0,73.1486,0.3891,3160.0,1.0,0.3891,0.6109,52,1.2413,30M_30N_10T,Large,35
164.0,48.6851,0.2969,3310.0,1.0,0.2969,0.7031,55,0.6051,30M_30N_10T,Large,36
175.0,66.1959,0.3783,2690.0,1.0,0.3783,0.6217,45,0.5371,30M_30N_10T,Large,37
157.0,72.4505,0.4615,3950.0,1.0,0.4615,0.5385,59,0.5462,30M_30N_10T,Large,38
182.0,64.6574,0.3553,2940.0,1.0,0.3553,0.6447,52,0.5494,30M_30N_10T,Large,39
177.0,76.1877,0.4304,2930.0,1.0,0.4304,0.5696,58,0.5333,30M_30N_10T,Large,40
201.0,81.7876,0.4069,3280.0,1.0,0.4069,0.5931,61,0.5384,30M_30N_10T,Large,41
164.0,48.6133,0.2964,4010.0,1.0,0.2964,0.7036,63,0.5436,30M_30N_10T,Large,42
173.0,50.5293,0.2921,2930.0,1.0,0.2921,0.7079,52,0.5267,30M_30N_10T,Large,43
188.0,50.6953,0.2697,4060.0,1.0,0.2697,0.7303,68,0.5623,30M_30N_10T,Large,44
183.0,53.8086,0.294,3410.0,1.0,0.294,0.706,63,0.7406,30M_30N_10T,Large,45
135.0,34.1823,0.2532,3800.0,1.0,0.2532,0.7468,62,0.7506,30M_30N_10T,Large,46
158.0,38.7754,0.2454,4130.0,1.0,0.2454,0.7546,61,0.7439,30M_30N_10T,Large,47
145.0,58.1961,0.4014,4030.0,1.0,0.4014,0.5986,64,0.8005,30M_30N_10T,Large,48
162.0,59.808,0.3692,4350.0,1.0,0.3692,0.6308,62,1.2117,30M_30N_10T,Large,49
