instance,objective_raw,objective_norm,gap,status,solve_time
0,18.87636507426572,0.165249023096278,0.02498270512651498,timelimit,600.0056936740875
1,14.926775187713972,0.1327718684019734,0.39239201625593945,timelimit,600.0648910999298
2,15.888942248651105,0.13529736292535188,0.41158353493455907,timelimit,600.0733482837677
3,13.571411130609377,0.1178080057073037,2.3762935441413675,timelimit,599.8257722854614
4,17.204262644726235,0.14220573832472444,0.4352129830566636,timelimit,600.1355068683624
5,18.286161649129653,0.15300625798778522,0.38161182953735195,timelimit,599.9541010856628
6,15.805517167784581,0.14194382800712863,0.22251474098003407,timelimit,599.9513821601868
7,9.995873614043482,0.1156376495204815,1.7000245995077359,timelimit,599.9816491603851
8,15.298920445885898,0.14023893228689968,0.9016633672056037,timelimit,600.0561780929565
9,15.198383921092757,0.1363943007373869,0.2671290693728296,timelimit,599.9873313903809
