instance,objective_raw,objective_norm,gap,status,solve_time
0,5.102774212937216,0.17455165477572476,0.0,optimal,4.41245698928833
1,4.454891034492846,0.19690320854576498,0.0,optimal,7.5466389656066895
2,6.350084482709628,0.21492691402827635,0.0,optimal,2.885000705718994
3,2.863570837806564,0.09946694293761849,0.0,optimal,7.542851209640503
0,5.102774212937216,0.17455165477572476,0.0,optimal,4.01999306678772
1,4.454891034492846,0.19690320854576498,0.0,optimal,8.269241571426392
2,6.350084482709628,0.21492691402827635,0.0,optimal,3.0970964431762695
3,2.863570837806564,0.09946694293761849,0.0,optimal,6.108048677444458
4,4.3656359485693965,0.1366273941461221,0.0,optimal,2.7304537296295166
5,3.600316600267352,0.11483974748759813,0.0,optimal,5.6450560092926025
6,4.651389913394144,0.1536061901136575,0.0,optimal,4.009241104125977
7,1.7039727414575117,0.07609613377209067,0.0,optimal,515.5881345272064
8,4.979292651558724,0.20540868386129865,0.0,optimal,1.8779597282409668
9,3.05959347443568,0.10653573361221454,0.0,optimal,2.362947940826416
