instance,objective_raw,objective_norm,gap,status,solve_time
0,589.0,1.0,1e+20,timelimit,604.7643537521362
1,559.0,1.0,1e+20,timelimit,608.324506521225
2,571.0,1.0,1e+20,timelimit,604.3122193813324
3,537.0,1.0,1e+20,timelimit,605.183661699295
4,606.0,1.0,1e+20,timelimit,605.73757147789
5,526.0,1.0,1e+20,timelimit,605.0256645679474
6,541.0,1.0,1e+20,timelimit,608.5160694122314
7,550.0,1.0,1e+20,timelimit,604.5534143447876
8,556.0,1.0,1e+20,timelimit,607.3206357955933
9,513.0,1.0,504253680000.5026,timelimit,605.9312756061554
