instance,objective_raw,objective_norm,gap,status,solve_time
0,2.9543240261560815,0.017286974102671805,1423093465.888735,timelimit,600.005927324295
1,2.5907140653742973,0.014229642714385671,516083582.6351536,timelimit,599.9523329734802
2,1.886374200966999,0.011316469172712649,347604996.8129048,timelimit,600.0127427577972
3,3.3550061496703134,0.018443680300881733,1245257473.3939087,timelimit,599.9921913146973
4,1.8485767651631984,0.009866484872023433,738017007.2401464,timelimit,600.0150666236877
5,4.178621308241679,0.024192481323266353,2253108638.6179914,timelimit,599.9717123508453
6,2.926571127908069,0.0177918356880033,2136588829.0194728,timelimit,600.0257396697998
7,2.1437305904713924,0.011851955262944167,1767840400.0585825,timelimit,600.4150183200836
8,2.3807386120036482,0.013621797204954903,630696809.4490026,timelimit,599.5848281383514
9,1.9997791294866114,0.010802306970422176,543207302.0240061,timelimit,599.979395866394
