instance,objective_raw,objective_norm,gap,status,solve_time
0,289.0,1.0,1e+20,timelimit,601.2432351112366
1,302.0,1.0,1e+20,timelimit,600.9225792884827
2,235.0,1.0,1e+20,timelimit,601.0610725879669
3,234.0,1.0,1e+20,timelimit,600.8844540119171
4,279.0,1.0,1e+20,timelimit,600.9974310398102
5,259.0,1.0,66020556594.105965,timelimit,601.156640291214
6,289.0,1.0,1e+20,timelimit,600.8629007339478
7,282.0,1.0,1e+20,timelimit,601.0000104904175
8,296.0,1.0,1e+20,timelimit,600.9667744636536
9,300.0,1.0,1e+20,timelimit,601.2272999286652
