instance,objective_raw,objective_norm,gap,status,solve_time
0,44.5781849769428,0.16329005486059633,1e+20,timelimit,600.2084171772003
1,19.578405434099203,0.07769208505594921,1e+20,timelimit,600.330785036087
2,22.57962096955214,0.08820164441231304,1e+20,timelimit,600.6908097267151
3,36.449913993643285,0.1084818868858431,1e+20,timelimit,599.9505791664124
4,22.389648712279502,0.08814822327669096,1e+20,timelimit,600.0257253646851
5,48.72128643324493,0.15467075058172994,1e+20,timelimit,599.9834473133087
6,45.747999980012,0.1605192981754807,1e+20,timelimit,599.9765746593475
7,24.9409086769954,0.08875768212453879,1e+20,timelimit,599.9934391975403
8,23.353599201213765,0.089135874813793,1e+20,timelimit,600.9665946960449
9,17.093975121494207,0.05623018132070463,1e+20,timelimit,600.1030218601227
