init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance,method
253.0,64.9445,0.2567,5950.0,1.0,0.2567,0.7433,99,0.000999,50M_50N_10T,Large,29,heuristic
284.0,111.5175,0.3927,5950.0,1.0,0.3927,0.6073,98,0.0,50M_50N_10T,Large,30,heuristic
295.0,99.1202,0.336,5450.0,1.0,0.336,0.664,95,0.001,50M_50N_10T,Large,31,heuristic
301.0,95.8297,0.3184,6750.0,1.0,0.3184,0.6816,115,0.001,50M_50N_10T,Large,32,heuristic
268.0,110.067,0.4107,5730.0,1.0,0.4107,0.5893,94,0.0,50M_50N_10T,Large,33,heuristic
266.0,98.8023,0.3714,5410.0,1.0,0.3714,0.6286,89,0.001,50M_50N_10T,Large,34,heuristic
250.0,104.3807,0.4175,6340.0,1.0,0.4175,0.5825,104,0.0,50M_50N_10T,Large,35,heuristic
293.0,150.9972,0.5153,4640.0,1.0,0.5153,0.4847,93,0.0,50M_50N_10T,Large,36,heuristic
240.0,75.8533,0.3161,5960.0,1.0,0.3161,0.6839,105,0.001,50M_50N_10T,Large,37,heuristic
269.0,166.5294,0.6191,5630.0,1.0,0.6191,0.3809,101,0.0,50M_50N_10T,Large,38,heuristic
251.0,74.6337,0.2973,6490.0,1.0,0.2973,0.7027,109,0.001001,50M_50N_10T,Large,39,heuristic
285.0,123.6205,0.4338,6290.0,1.0,0.4338,0.5662,101,0.000999,50M_50N_10T,Large,40,heuristic
275.0,135.8022,0.4938,5910.0,1.0,0.4938,0.5062,100,0.0,50M_50N_10T,Large,41,heuristic
281.0,103.1367,0.367,5950.0,1.0,0.367,0.633,104,0.001,50M_50N_10T,Large,42,heuristic
277.0,132.7021,0.4791,5980.0,1.0,0.4791,0.5209,97,0.0,50M_50N_10T,Large,43,heuristic
273.0,125.3662,0.4592,6370.0,1.0,0.4592,0.5408,102,0.0,50M_50N_10T,Large,44,heuristic
271.0,78.2575,0.2888,5910.0,1.0,0.2888,0.7112,100,0.001,50M_50N_10T,Large,45,heuristic
283.0,151.1871,0.5342,6540.0,1.0,0.5342,0.4658,100,0.0,50M_50N_10T,Large,46,heuristic
300.0,89.939,0.2998,6030.0,1.0,0.2998,0.7002,104,0.001,50M_50N_10T,Large,47,heuristic
282.0,69.5079,0.2465,6320.0,1.0,0.2465,0.7535,103,0.001002,50M_50N_10T,Large,48,heuristic
283.0,83.6779,0.2957,6390.0,1.0,0.2957,0.7043,105,0.000998,50M_50N_10T,Large,49,heuristic
