instance,objective_raw,objective_norm,gap,status,solve_time
0,385.0,1.0,1e+20,timelimit,602.102334022522
1,392.0,1.0,1e+20,timelimit,601.9857833385468
2,384.0,1.0,1e+20,timelimit,601.8906116485596
3,420.0,1.0,1e+20,timelimit,602.1155166625977
4,394.0,1.0,1e+20,timelimit,601.928094625473
5,363.0,1.0,1e+20,timelimit,601.9278678894043
6,381.0,1.0,1e+20,timelimit,602.0615746974945
7,366.0,1.0,1e+20,timelimit,602.0562815666199
8,387.0,1.0,1e+20,timelimit,602.157338142395
9,446.0,1.0,1e+20,timelimit,602.1032681465149
