instance,objective_raw,objective_norm,gap,status,solve_time
0,14.030784520486442,0.05101492457516158,7659652571.249855,timelimit,601.5050053596497
1,27.82233523412939,0.09643871299656666,1e+20,timelimit,601.202787399292
2,14.092845619888513,0.04881072666931029,1e+20,timelimit,600.9970893859863
3,17.732349761399977,0.06183843194901244,1e+20,timelimit,601.3408267498016
4,16.39690330362647,0.05306579397522321,1e+20,timelimit,601.9598939418793
5,268.504426630969,1.0,1e+20,timelimit,601.1095559597015
6,20.919634141030564,0.0706398180426679,1e+20,timelimit,602.0976324081421
7,6.957988472791087,0.025309713591730235,1e+20,timelimit,601.2967944145203
8,29.414310179267133,0.11086308625241056,1e+20,timelimit,600.6005125045776
9,13.684765182409823,0.04681942949914489,1e+20,timelimit,601.5999872684479
