instance,objective_raw,objective_norm,gap,status,solve_time
0,8.264278871673735,0.03700688346006407,3839325186.511696,timelimit,600.203893661499
1,13.404751532542088,0.06022042075532768,12191407681.686974,timelimit,599.9652109146118
2,5.555501896627292,0.023191822878476494,4455349956.784696,timelimit,600.0194277763367
3,8.843082444550223,0.03579193547323876,5825720166.14197,timelimit,599.9957010746002
4,8.091261912346848,0.033578292257521285,1241697059.1242445,timelimit,600.0416247844696
5,16.243651900581796,0.07017899579356889,11794925062.30985,timelimit,599.9458956718445
6,7.883758594646666,0.03444263073178022,7520421964.530891,timelimit,600.026266336441
7,18.090768364476133,0.07924728513775775,7585010709.142788,timelimit,599.9585354328156
8,8.651380307926985,0.03726983911659993,3017805370.5374227,timelimit,600.011905670166
9,9.747201310579266,0.039217343287020756,1191321180.7028315,timelimit,600.0344753265381
