instance,objective,status,average_obj,total_instances,optimal_count,optimal_percentage
0,16.828208921064,optimal,15.066539885179836,50,44,88.0
1,13.168129940880002,timelimit,15.066539885179836,50,44,88.0
2,13.953859343679998,optimal,15.066539885179836,50,44,88.0
3,16.296203549999998,optimal,15.066539885179836,50,44,88.0
4,16.32838183768,optimal,15.066539885179836,50,44,88.0
5,15.55765628,optimal,15.066539885179836,50,44,88.0
6,12.995343584,optimal,15.066539885179836,50,44,88.0
7,12.237324099999999,optimal,15.066539885179836,50,44,88.0
8,15.777763749570001,optimal,15.066539885179836,50,44,88.0
9,11.9542633382,optimal,15.066539885179836,50,44,88.0
10,22.843034879999998,optimal,15.066539885179836,50,44,88.0
11,11.678038553904,optimal,15.066539885179836,50,44,88.0
12,12.352049829696,optimal,15.066539885179836,50,44,88.0
13,15.971538226,optimal,15.066539885179836,50,44,88.0
14,15.768117390000002,optimal,15.066539885179836,50,44,88.0
15,18.91688417167,optimal,15.066539885179836,50,44,88.0
16,19.497554522418,optimal,15.066539885179836,50,44,88.0
17,8.956198382552113,timelimit,15.066539885179836,50,44,88.0
18,15.921623353520003,optimal,15.066539885179836,50,44,88.0
19,15.524074082399999,timelimit,15.066539885179836,50,44,88.0
20,10.364627694,optimal,15.066539885179836,50,44,88.0
21,16.364565744,optimal,15.066539885179836,50,44,88.0
22,12.6287554896,optimal,15.066539885179836,50,44,88.0
23,10.084665793298445,optimal,15.066539885179836,50,44,88.0
24,8.835895319999999,timelimit,15.066539885179836,50,44,88.0
25,9.36886724739255,optimal,15.066539885179836,50,44,88.0
26,19.48912354,optimal,15.066539885179836,50,44,88.0
27,14.567981129119998,optimal,15.066539885179836,50,44,88.0
28,14.6701703385,optimal,15.066539885179836,50,44,88.0
29,17.807906649486867,optimal,15.066539885179836,50,44,88.0
30,11.210741540775999,optimal,15.066539885179836,50,44,88.0
31,16.269848908449998,optimal,15.066539885179836,50,44,88.0
32,21.272394451239993,optimal,15.066539885179836,50,44,88.0
33,15.811238671280002,optimal,15.066539885179836,50,44,88.0
34,14.250310986024001,optimal,15.066539885179836,50,44,88.0
35,21.64143174,optimal,15.066539885179836,50,44,88.0
36,24.15062114,optimal,15.066539885179836,50,44,88.0
37,11.125657850245661,optimal,15.066539885179836,50,44,88.0
38,13.131264029696,optimal,15.066539885179836,50,44,88.0
39,10.458016961488,optimal,15.066539885179836,50,44,88.0
40,14.276762,optimal,15.066539885179836,50,44,88.0
41,19.57619777,optimal,15.066539885179836,50,44,88.0
42,11.338218530096,timelimit,15.066539885179836,50,44,88.0
43,16.56990094,optimal,15.066539885179836,50,44,88.0
44,21.37680848,optimal,15.066539885179836,50,44,88.0
45,16.254802198864,optimal,15.066539885179836,50,44,88.0
46,12.765150965600002,optimal,15.066539885179836,50,44,88.0
47,16.96355027,optimal,15.066539885179836,50,44,88.0
48,14.256181640000001,optimal,15.066539885179836,50,44,88.0
49,13.9190882026,timelimit,15.066539885179836,50,44,88.0
